skip	order_id	product_id	description	price	quantity	is_ready	outlay	outlayPacking
29	5	1	Фотобут-рия свадебная со стрелками	60	1	1	0	0
30	5	1	Набор Губки и Усы розово-голубой	40	1	1	0	0
31	6	1	Гирлянда Just Married	60	1	1	0	0
32	6	1	Набор бутафории Девичник с ушками	60	1	1	16,25	0
33	7	1	Речевые облачка цветные Девичник укр язык	80	1	1	21,25	0
34	7	1	Набор Усы и губки Классический черно-красный	50	1	1	0	0
35	8	1	Набор Девичник с ушками	80	1	1	16,25	0
36	9	1	Фотобутафория мороженка для Ариши ДР	100	1	1	0	0
37	9	1	Речевые облачка Ариша 8 шт	80	1	1	0	0
38	10	1	Набор Девичник с ушками	80	1	1	16,25	0
39	11	1	Гирлянда бумажна кружочки шоколад	50	1	1	0	0
40	11	1	Таблички 2 шт шоколад	30	1	1	0	0
41	11	1	Гирлянда С ДР Кира	90	1	1	0	0
42	12	1	Набор фотобут на палочках  Микки	120	1	1	0	0
43	12	1	Свадебный с гол птичками 2 штуки	120	1	1	0	0
44	12	1	Свадебный сбокальчиками 2 шт	120	1	1	0	0
45	12	1	Набор Девичник розово-черный 2 штуки	280	1	1	98	0
46	12	1	С табличками Lo Ve 2 шт (со скидкой)	80	1	1	0	0
47	13	1	Набор Девичник с ушками	80	1	1	16,25	0
48	13	1	Набор Усы, губы, бабочки	80	1	1	0	0
49	13	1	Гирлянда  Just married изумрудная	70	1	1	0	0
50	14	1	Гирлянда Девичник сиреневая	60	1	1	16,3	0
51	14	1	Гирлянда бумажная сиреневая	40	1	1	0	0
52	14	1	Гирлянда сбелая Радионенко	75	1	1	0	0
53	14	1	Набор Черно розовый Девичник	120	1	1	49	0
54	15	1	Набор Девичник черно-розовый	120	1	1	49	0
55	16	1	Набор черный с гол птичками и золотом	100	1	1	0	0
56	17	1	Таблички MR MRS	60	1	1	0	0
57	17	1	Гирлянда  Just married	60	1	1	0	0
58	18	1	Гирлянда Девичник мейсон лимон	60	1	1	12,4	0
59	18	1	Гирлянда бумажная кружки розовые 4 шт	180	1	1	0	0
60	18	1	Губки красные 14 шт	24	1	1	0	0
61	18	1	Фотобутафория с ушками (без губ и усов)	50	1	1	15	0
62	18	1	Таблички черно-розовые 5 штук	50	1	1	0	0
63	19	1	Набор фотобутафории Тачки	55	1	1	0	0
